COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M),Vivendi,Peer group,Violent genre
THE URBZ: SIMS IN THE CITY,3,1,1,1,THE SIMS,,ELECTRONIC ARTS,MAXIS,STRATEGY,LIFE SIMULATIONS,01-Nov-04,2004,11,T,NO,70.83333333,47.67,51.70,84.87,0,2,6,16,282689,13.47,65.45%,38.67,529553,20.58,No,Yes,Non violent
THEME PARK ROLLER,1,0,0,1,THEME PARK,,ELECTRONIC ARTS,BULLFROG PRODUCTIONS,STRATEGY,LIFE SIMULATIONS,01-Dec-00,2000,12,E,NO,82.5,50.00,0.00,0.00,0,0,0,0,123741,4.68,77.97%,32.00,188517,6.00,No,Yes,Non violent
THIEF DEADLY SHADOWS,1,0,1,0,THIEF,,EIDOS INTERACTIVE ,ION STORM,ACTION,STEALTH ACTION,01-May-04,2004,5,M,NO,81.19999695,47.00,0.00,0.00,0,7,0,4,74095,3.47,91.23%,44.00,87196,3.81,No,No,Violent
THUNDERSTRIKE:PHOENIX,1,0,0,1,THUNDERSTRIKE,,EIDOS INTERACTIVE ,CORE DESIGN,FLIGHT,AIR COMBAT SIMULATIONS,01-Oct-01,2001,10,T,NO,70.09999847,51.00,0.00,0.00,0,3,0,0,87988,3.47,80.19%,31.00,137478,4.32,No,No,Non violent
TIGER WOODS PGA TOUR 2001,1,0,0,1,TIGER WOODS,PRO GOLF,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,GOLF,01-Feb-01,2001,2,E,NO,73.30000305,50.00,0.00,0.00,0,0,0,1,268732,13.44,94.68%,48.00,292919,14.20,No,Yes,Non violent
TIGER WOODS PGA TOUR 2002,1,0,0,1,TIGER WOODS,PRO GOLF,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,GOLF,01-Feb-02,2002,2,E,NO,84.40000153,48.00,13.44,13.44,1,3,1,2,348547,16.74,97.81%,47.00,364972,17.12,No,Yes,Non violent
TIGER WOODS PGA TOUR 2003,3,1,1,1,TIGER WOODS,PRO GOLF,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,GOLF,01-Oct-02,2002,10,E,NO,88.93333435,47.00,13.44,13.44,1,7,1,2,943940,43.16,90.06%,40.33,1079139,47.93,No,Yes,Non violent
TIGER WOODS PGA TOUR 2004,3,1,1,1,TIGER WOODS,PRO GOLF,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,GOLF,01-Sep-03,2003,9,E,NO,88.83333333,49.00,43.16,73.35,0,2,5,12,1268551,60.69,90.48%,46.00,1432587,67.08,No,Yes,Non violent
TIGER WOODS PGA TOUR 2005,3,1,1,1,TIGER WOODS,PRO GOLF,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,GOLF,01-Sep-04,2004,9,E,NO,87.39999898,49.00,60.69,134.04,0,3,8,17,797350,38.74,68.52%,42.33,1346318,56.54,No,Yes,Non violent
TIME CRISIS 2,2,0,0,2,TIME CRISIS,,NAMCO,NAMCO,SHOOTER,OTHER SHOOTER,01-Sep-01,2001,9,T,NO,79.30000305,54.00,0.00,0.00,2,10,0,2,154347,8.93,66.77%,53.50,230357,13.38,No,No,Violent
