COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M),Vivendi,Peer group,Violent genre
ECCO THE DOLPHIN,1,0,0,1,ECCO THE DOLPHIN,,ACCLAIM  ,APPALOOSA INTERACTIVE,ADVENTURE,GENERAL ADVENTURE,01-Mar-02,2002,3,E,NO,68.69999695,33.00,0.00,0.00,0,9,0,6,46255,1.50,89.88%,31.00,54445,1.66,No,No,Non violent
ECHO NIGHT: BEYOND,1,0,0,1,ECHO NIGHT,,AGETEC,FROMSOFTWARE,ADVENTURE,GENERAL ADVENTURE,01-Jul-04,2004,7,T,NO,62,36.00,0.00,0.00,0,3,0,21,4512,0.16,60.71%,27.00,9841,0.27,No,No,Non violent
EGG MANIA: EGGSTREME,3,1,1,1,EGG MANIA,,KEMCO AMERICA,HOTGEN STUDIOS,FAMILY ,PUZZLE GAMES,01-Sep-02,2002,9,E,NO,67.3666687,25.33,0.00,0.00,0,8,0,3,19588,0.43,78.95%,20.33,27119,0.55,No,No,Non violent
EJAY CLUBWORLD,1,0,0,1,,,CRAVE ,EJAY ENTERTAINMENT,FAMILY ,MUSIC/DANCE GAMES,01-Aug-03,2003,8,E,NO,72,10.00,0.00,0.00,0,10,0,8,45302,0.41,86.38%,8.00,57225,0.47,No,No,Non violent
ELDER SCROLLS 3: MORROWIND,2,0,2,0,ELDER SCROLLS,,BETHESDA SOFTWORKS,BETHESDA SOFTWORKS,RPG,RPG,01-Jun-02,2002,6,T,NO,88.10000229,40.00,15.19,15.19,0,12,1,5,657464,23.29,77.14%,29.50,1012152,30.19,No,No,Non violent
ENCLAVE,1,0,1,0,,,CONSPIRACY,STARBREEZE STUDIOS,ACTION,GENERAL ACTION,01-Jul-02,2002,7,M,NO,70.19999695,45.00,0.00,0.00,0,21,0,2,52649,1.91,87.30%,30.00,72123,2.19,No,No,Violent
ENDGAME,1,0,0,1,,,EMPIRE INTERACTIVE,CUNNING DEVELOPMENTS,SHOOTER,OTHER SHOOTER,01-Jun-02,2002,6,T,NO,61.70000076,36.00,0.00,0.00,0,3,0,7,24589,0.82,88.77%,30.00,30923,0.92,No,No,Violent
ENTER THE MATRIX,3,1,1,1,THE MATRIX,THE MATRIX,ATARI,SHINY ENTERTAINMENT,ACTION,GENERAL ACTION,01-May-03,2003,5,T,NO,68.53333537,46.00,0.00,0.00,0,84,0,92,1949093,85.52,94.05%,40.33,2225658,90.93,No,No,Violent
EPHEMERAL FANTASIA,1,0,0,1,,,KONAMI DIGITAL ENT.,SONY COMPUTER ENTERTAINMENT,RPG,RPG,01-Jul-01,2001,7,T,NO,56.40000153,51.00,0.00,0.00,0,12,0,4,29994,1.49,91.52%,48.00,34084,1.62,No,No,Non violent
ESCAPE FROM MONKEY ISLAND,1,0,0,1,ESCAPE FROM MONKEY ISLAND,,LUCASARTS,LUCASARTS,ADVENTURE,GENERAL ADVENTURE,01-Jun-01,2001,6,T,NO,82.19999695,45.00,0.00,0.00,0,5,0,0,37414,1.65,93.14%,43.00,41663,1.77,No,Yes,Non violent
ESPN COLLEGE HOOPS,2,0,1,1,ESPN,COLLEGE LIC PRODUCTS,SEGA OF AMERICA,KUSH GAMES,SPORTS,BASKETBALL,01-Nov-03,2003,11,E,YES,80.35000229,50.00,1.52,14.83,6,13,12,29,115017,4.36,95.24%,36.50,125207,4.58,No,No,Non violent
ESPN COLLEGE HOOPS 2K5,2,0,1,1,ESPN,COLLEGE LIC PRODUCTS,TAKE 2 INTERACTIVE ,VISUAL CONCEPTS,SPORTS,BASKETBALL,01-Nov-04,2004,11,E,YES,84.79999924,19.50,19.25,61.38,8,8,20,44,312050,6.07,61.25%,19.50,507566,9.91,No,No,Non violent
ESPN INTL. TRACK & FIELD,1,0,0,1,BUNDLE,ESPN,KONAMI DIGITAL ENT.,KONAMI,SPORTS,MULTIPLE/OTHER SPORTS,01-Oct-00,2000,10,E,NO,71.30000305,45.00,0.00,0.00,0,0,0,0,54942,1.88,83.04%,30.00,75947,2.26,No,No,Non violent
ESPN MAJOR LEAGUE BASEBALL,2,0,1,1,ESPN,MAJOR LEAGUE BASEBALL (MLB),SEGA OF AMERICA,BLUE SHIFT,SPORTS,BASEBALL,01-Apr-04,2004,4,E,YES,77.54999924,37.00,19.25,61.38,8,7,20,23,134578,5.02,94.88%,36.00,147990,5.30,No,No,Non violent
ESPN MLS EXTRA TIME,1,0,0,1,ESPN,ESPN,KONAMI DIGITAL ENT.,KONAMI,SPORTS,SOCCER,01-Apr-01,2001,4,E,NO,65.40000153,50.00,2.99,2.99,3,2,1,1,9088,0.45,78.31%,44.00,12871,0.57,No,No,Non violent
ESPN MLS EXTRA TIME 2002,2,1,1,0,ESPN,ESPN,KONAMI DIGITAL ENT.,KONAMI,SPORTS,SOCCER,01-Mar-02,2002,3,E,NO,71.15000153,35.00,0.00,0.00,4,10,0,1,18877,0.65,88.88%,30.50,24127,0.73,No,No,Non violent
ESPN NATIONAL HOCKEY,1,0,0,1,ESPN,ESPN,KONAMI DIGITAL ENT.,KONAMI,SPORTS,HOCKEY,01-Mar-01,2001,3,E,NO,49.90000153,39.00,2.99,2.99,3,3,1,1,17543,0.64,79.06%,29.00,27931,0.82,No,No,Non violent
ESPN NBA 2 NIGHT,1,0,0,1,ESPN,ESPN,KONAMI DIGITAL ENT.,KONAMI,SPORTS,BASKETBALL,01-Feb-01,2001,2,E,NO,60.5,42.00,2.99,2.99,3,6,1,1,29281,1.22,87.96%,39.00,36031,1.39,No,No,Non violent
ESPN NBA 2 NIGHT 2002,2,0,1,1,ESPN,ESPN,KONAMI DIGITAL ENT.,KONAMI,SPORTS,BASKETBALL,01-Feb-02,2002,2,E,NO,56.89999962,46.50,5.98,11.28,5,18,5,9,15877,0.71,90.19%,37.50,20244,0.79,No,No,Non violent
ESPN NBA 2K5,2,0,1,1,ESPN,NATL BASKETBALL ASSOC,TAKE 2 INTERACTIVE ,VISUAL CONCEPTS,SPORTS,BASKETBALL,01-Sep-04,2004,9,E,YES,82.95000076,19.00,19.25,61.38,8,8,20,44,1280314,24.51,78.89%,19.00,1616270,31.07,No,No,Non violent
ESPN NBA BASKETBALL,2,0,1,1,ESPN,NATL BASKETBALL ASSOC,SEGA OF AMERICA,VISUAL CONCEPTS,SPORTS,BASKETBALL,01-Oct-03,2003,10,E,YES,86.35000229,49.50,1.52,14.83,6,13,12,29,341446,16.40,96.23%,47.00,360568,17.05,No,No,Non violent
ESPN NFL 2K5,2,0,1,1,ESPN,NATL FOOTBALL LEAGUE,TAKE 2 INTERACTIVE ,VISUAL CONCEPTS,SPORTS,FOOTBALL,01-Jul-04,2004,7,E,YES,89,19.00,19.25,61.38,8,9,20,40,2632393,51.21,91.61%,19.00,2871380,55.90,No,No,Non violent
ESPN NFL FOOTBALL,2,0,1,1,ESPN,NATL FOOTBALL LEAGUE,SEGA OF AMERICA,VISUAL CONCEPTS,SPORTS,FOOTBALL,01-Sep-03,2003,9,E,YES,88.60000229,49.50,1.52,14.83,6,10,12,28,408485,19.25,97.20%,46.00,428464,19.81,No,No,Non violent
ESPN NHL 2K5,2,0,1,1,ESPN,NATIONAL HOCKEY LEAGUE (NHL),TAKE 2 INTERACTIVE ,VISUAL CONCEPTS,SPORTS,HOCKEY,01-Sep-04,2004,9,E,YES,85.75,19.00,19.25,61.38,8,3,20,21,441164,8.54,80.83%,19.00,545699,10.57,No,No,Non violent
ESPN NHL HOCKEY,2,0,1,1,ESPN,NATIONAL HOCKEY LEAGUE (NHL),SEGA OF AMERICA,KUSH GAMES,SPORTS,HOCKEY,01-Sep-03,2003,9,E,YES,86.44999695,49.50,1.52,14.83,6,5,12,14,141859,6.52,95.45%,44.50,153597,6.83,No,No,Non violent
ESPN WINTER SPORTS 2K2,3,1,1,1,ESPN,ESPN,KONAMI DIGITAL ENT.,KONAMI,SPORTS,MULTIPLE/OTHER SPORTS,01-Jan-02,2002,1,E,NO,60.5333341,34.67,5.98,11.28,6,4,5,3,54797,1.88,92.16%,31.00,66796,2.04,No,No,Non violent
ESPN X GAMES: SNOW,1,0,0,1,ESPN,ESPN,KONAMI DIGITAL ENT.,KONAMI,SPORTS,EXTREME SPORTS,01-Oct-00,2000,10,E,NO,71.30000305,48.00,0.00,0.00,0,2,0,0,66388,2.99,88.07%,41.00,82597,3.39,No,No,Non violent
ESPN X GAMES: SNOW 2K2,2,0,1,1,ESPN,ESPN,KONAMI DIGITAL ENT.,KONAMI,SPORTS,EXTREME SPORTS,01-Jan-02,2002,1,E,NO,68.09999847,30.00,5.98,11.28,5,26,5,21,45058,1.46,91.31%,29.00,51395,1.60,No,No,Non violent
ETERNAL DARKNESS,1,1,0,0,,,NINTENDO OF AMERICA,SILICON KNIGHTS,ADVENTURE,GENERAL ADVENTURE,01-Jun-02,2002,6,M,NO,91,49.00,0.00,0.00,0,5,0,1,218574,9.64,87.99%,38.00,288651,10.95,No,No,Non violent
ETERNAL RING,1,0,0,1,,,AGETEC,FROMSOFTWARE,RPG,RPG,01-Oct-00,2000,10,T,NO,58.29999924,44.00,0.00,0.00,0,3,0,0,52349,1.76,78.33%,29.00,77905,2.25,No,No,Non violent
EVE OF EXTINCTION,1,0,0,1,,,EIDOS INTERACTIVE ,YUKE'S COMPANY,ACTION,GENERAL ACTION,01-Feb-02,2002,2,T,NO,58.79999924,40.00,0.00,0.00,0,34,0,15,28866,1.15,93.54%,35.00,35075,1.23,No,No,Violent
EVERBLUE 2,1,0,0,1,,,CAPCOM USA,AKIRA,ADVENTURE,GENERAL ADVENTURE,01-Feb-03,2003,2,E,NO,57.90000153,29.00,0.00,0.00,0,4,0,16,10449,0.30,85.67%,27.00,12825,0.35,No,No,Non violent
EVERGRACE,1,0,0,1,,,AGETEC,FROMSOFTWARE,RPG,RPG,01-Oct-00,2000,10,T,NO,51.90000153,44.00,0.00,0.00,0,3,0,0,55752,1.91,79.90%,31.00,77714,2.40,No,No,Non violent
EVERQUEST ONLINE ADVT,1,0,0,1,EVERQUEST,,SONY ,SONY ONLINE ENTERTAINMENT,RPG,MMORPG,01-Feb-03,2003,2,T,YES,78.40000153,25.00,0.00,0.00,1,1,0,0,137358,3.36,93.49%,22.00,161447,3.59,No,Yes,Non violent
EVERQUEST: FRONTIER,1,0,0,1,EVERQUEST,,SONY ,SONY ONLINE ENTERTAINMENT,RPG,MMORPG,01-Nov-03,2003,11,T,YES,78,29.00,0.00,0.00,1,1,0,0,67378,1.94,93.54%,28.00,72973,2.08,No,Yes,Non violent
EVIL DEAD: FISTFUL,2,0,1,1,EVIL DEAD,,THQ ,VIS INTERACTIVE,ADVENTURE,SURVIVAL HORROR,01-May-03,2003,5,M,NO,63.70000076,20.00,0.00,0.00,0,8,0,13,194433,3.84,93.88%,19.50,209380,4.09,No,Yes,Non violent
EVOLUTION SKATEBOARD,2,1,0,1,,,KONAMI DIGITAL ENT.,KONAMI,SPORTS,EXTREME SPORTS,01-Oct-02,2002,10,T,NO,51.60000038,40.50,0.00,0.00,0,27,0,17,89329,1.12,76.26%,12.50,123090,1.47,No,No,Non violent
EVOLUTION SNOWBOARD,2,1,0,1,,,KONAMI DIGITAL ENT.,KONAMI,SPORTS,EXTREME SPORTS,01-Nov-02,2002,3,T,NO,38.25,39.00,0.00,0.00,0,22,0,29,6653,0.15,87.52%,16.50,8884,0.17,No,No,Non violent
EVOLUTION WORLDS,1,1,0,0,,,UBISOFT,STING,RPG,RPG,01-Dec-02,2002,12,E,NO,61.79999924,50.00,0.00,0.00,0,4,0,0,47850,1.72,98.38%,35.00,49532,1.75,No,Yes,Non violent
EXHIBITION DEMO DISK,1,0,1,0,EXHIBITION DEMO DISK,,MICROSOFT ,MICROSOFT,OTHER GAMES,BUNDLES/COMPILATIONS,01-Nov-02,2002,11,M,NO,,5.00,0.00,0.00,0,0,0,0,135049,0.71,92.50%,5.00,148516,0.77,No,No,Non violent
EXHIBITION DEMO VOL 2,1,0,1,0,EXHIBITION DEMO DISK,,MICROSOFT ,MICROSOFT,OTHER GAMES,BUNDLES/COMPILATIONS,01-Mar-03,2003,3,M,NO,,5.00,21.38,0.71,2,2,1,1,85793,0.45,92.27%,5.00,98993,0.49,No,No,Non violent
EXHIBITION DEMO VOL 3,1,0,1,0,EXHIBITION DEMO DISK,,MICROSOFT ,MICROSOFT,OTHER GAMES,BUNDLES/COMPILATIONS,01-Jul-03,2003,7,M,NO,,6.00,21.38,0.71,2,2,1,1,50492,0.29,90.39%,6.00,57402,0.32,No,No,Non violent
EXHIBITION DEMO VOL 4,1,0,1,0,EXHIBITION DEMO DISK,,MICROSOFT ,MICROSOFT,OTHER GAMES,BUNDLES/COMPILATIONS,01-Nov-03,2003,11,M,NO,,6.00,21.38,0.71,2,2,1,1,38738,0.23,93.51%,6.00,42041,0.25,No,No,Non violent
EXHIBITION DEMO VOL 5,1,0,1,0,EXHIBITION DEMO DISK,,MICROSOFT ,MICROSOFT,OTHER GAMES,BUNDLES/COMPILATIONS,01-Jun-04,2004,6,M,NO,,6.00,0.45,1.69,2,3,4,4,29026,0.17,89.99%,6.00,33585,0.19,No,No,Non violent
EXHIBITION DEMO VOL 6,1,0,1,0,EXHIBITION DEMO DISK,,MICROSOFT ,MICROSOFT,OTHER GAMES,BUNDLES/COMPILATIONS,01-Oct-04,2004,10,M,NO,,6.00,0.45,1.69,2,3,4,4,4051,0.02,45.62%,6.00,9087,0.05,No,No,Non violent
EXHIBITION DEMO VOL 7,1,0,1,0,EXHIBITION DEMO DISK,,MICROSOFT ,MICROSOFT,OTHER GAMES,BUNDLES/COMPILATIONS,01-Dec-04,2004,12,M,NO,,8.00,0.45,1.69,2,3,4,4,1120,0.01,32.50%,8.00,3438,0.03,No,No,Non violent
EXPN X GAMES: SKATE,1,0,0,1,ESPN,ESPN,KONAMI DIGITAL ENT.,KONAMI,SPORTS,EXTREME SPORTS,01-Aug-01,2001,8,E,NO,62,50.00,2.99,2.99,3,10,1,3,126181,5.98,92.75%,45.00,143379,6.44,No,No,Non violent
EXTERMINATION,1,0,0,1,,,SONY ,DEEP SPACE,ADVENTURE,SURVIVAL HORROR,01-Jul-01,2001,7,M,NO,72.90000153,51.00,0.00,0.00,0,4,0,0,132647,6.30,87.99%,42.00,169534,7.16,No,Yes,Non violent
EXTREME G3 RACING,2,1,0,1,EXTREME G,,ACCLAIM  ,ACCLAIM STUDIOS,RACING,ACTION ORIENTED RACING,01-Aug-01,2001,8,E,NO,80,47.00,0.00,0.00,0,26,0,4,156157,5.90,84.79%,34.00,205509,6.96,No,No,Non violent
EYE TOY,1,0,0,1,EYE TOY,,SONY ,SONY COMPUTER ENTERTAINMENT,FAMILY ,PARTY GAMES,01-Nov-03,2003,11,E,NO,83,49.00,0.00,0.00,0,2,0,2,642496,31.14,93.01%,48.00,695051,33.48,No,Yes,Non violent
EYE TOY: ANTIGRAV,1,0,0,1,EYE TOY,,SONY ,HARMONIX MUSIC SYSTEMS,SPORTS,EXTREME SPORTS,01-Nov-04,2004,11,E,NO,74.69999695,49.00,31.14,31.14,2,2,1,36,189821,9.37,76.61%,49.00,247841,12.23,No,Yes,Non violent
EYE TOY: GROOVE,2,0,0,2,EYE TOY,,SONY ,SONY COMPUTER ENTERTAINMENT,FAMILY ,MUSIC/DANCE GAMES,01-Apr-04,2004,4,E,NO,74.30000305,37.50,62.27,62.27,4,26,2,38,94884,3.64,87.18%,35.50,116537,4.18,No,Yes,Non violent
F1 2001,2,0,1,1,FORMULA 1,PRO RACING ALL OTHER,ELECTRONIC ARTS,VISUAL SCIENCES,RACING,SPORTS ORIENTED RACING,01-Sep-01,2001,9,E,NO,81.85000229,50.50,2.21,1.87,1,9,1,3,81187,3.67,91.64%,44.00,91986,4.00,No,Yes,Non violent
F1 2002,2,1,0,1,FORMULA 1,PRO RACING ALL OTHER,ELECTRONIC ARTS,ELECTRONIC ARTS,RACING,SPORTS ORIENTED RACING,01-Jun-02,2002,6,E,NO,73.79999924,50.00,2.07,5.70,0,19,3,11,53238,2.63,88.44%,46.00,63696,2.97,No,Yes,Non violent
F1 CAREER CHALLENGE,1,0,0,1,FORMULA 1,PRO RACING ALL OTHER,ELECTRONIC ARTS,ELECTRONIC ARTS,RACING,SPORTS ORIENTED RACING,01-Jun-03,2003,6,E,NO,66,38.00,1.92,7.62,0,6,4,25,35146,1.31,90.52%,37.00,39406,1.45,No,Yes,Non violent
F1 CHAMPIONSHIP SEASON 2000,1,0,0,1,FORMULA 1,PRO RACING ALL OTHER,ELECTRONIC ARTS,ELECTRONIC ARTS,RACING,SPORTS ORIENTED RACING,01-Dec-00,2000,12,E,NO,67.90000153,51.00,0.00,0.00,0,2,0,0,45921,1.87,93.57%,39.00,51422,2.00,No,Yes,Non violent
FABLE,1,0,1,0,,,MICROSOFT ,BIG BLUE BOX STUDIOS,RPG,RPG,01-Sep-04,2004,9,M,YES,84.69999695,49.00,0.00,0.00,0,8,0,14,897002,43.82,88.83%,46.00,1064168,49.33,No,No,Non violent
FALLOUT: BROTHERHOOD OF STEEL,2,0,1,1,,,INTERPLAY PRODUCTIONS,INTERPLAY PRODUCTIONS,SHOOTER,OTHER SHOOTER,01-Jan-04,2004,1,M,NO,64.35000038,39.00,0.00,0.00,0,6,0,18,40546,1.60,90.70%,34.50,50357,1.76,No,No,Violent
FANTAVISION,1,0,0,1,,,SONY ,SONY COMPUTER ENTERTAINMENT,FAMILY ,PUZZLE GAMES,01-Oct-00,2000,10,E,NO,71.80000305,46.00,0.00,0.00,0,1,0,0,52468,1.96,72.13%,25.00,108350,2.71,No,Yes,Non violent
FATAL FRAME,2,0,1,1,,,TECMO,TECMO,ADVENTURE,SURVIVAL HORROR,01-Mar-02,2002,3,T,NO,81.05000305,50.00,0.00,0.00,0,5,0,6,73959,3.62,86.98%,45.00,90460,4.16,No,No,Non violent
FATAL FRAME II,1,0,0,1,FATAL FRAME,,TECMO,TECMO,ADVENTURE,SURVIVAL HORROR,01-Dec-03,2003,12,M,NO,82.69999695,50.00,0.00,0.00,0,5,0,9,57115,2.74,96.08%,46.00,61264,2.85,No,No,Non violent
FATAL FRAME II DIR CT,1,0,1,0,FATAL FRAME,,TECMO,TECMO,ADVENTURE,SURVIVAL HORROR,01-Nov-04,2004,11,M,NO,84.59999847,50.00,0.00,0.00,0,2,0,8,7420,0.37,48.60%,44.00,17156,0.76,No,No,Non violent
FERRARI F355 CHALLENGE,1,0,0,1,,,SEGA OF AMERICA,AM2,RACING,ACTION ORIENTED RACING,01-Sep-02,2002,9,E,NO,66.5,49.00,0.00,0.00,0,15,0,28,16387,0.75,86.92%,43.00,20305,0.87,No,No,Non violent
FIFA 2001,1,0,0,1,FIFA,WCS (WORLD CUP SOCCER),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,SOCCER,01-Nov-00,2000,11,E,NO,82.09999847,50.00,0.00,0.00,0,0,0,0,191274,9.36,90.46%,47.00,219717,10.35,No,Yes,Non violent
FIFA SOCCER 2002,2,1,0,1,FIFA,WCS (WORLD CUP SOCCER),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,SOCCER,01-Oct-01,2001,10,E,NO,80.20000076,50.00,9.37,9.36,0,2,1,1,335324,14.51,94.00%,41.00,363230,15.43,No,Yes,Non violent
FIFA SOCCER 2003,3,1,1,1,FIFA,WCS (WORLD CUP SOCCER),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,SOCCER,01-Nov-02,2002,11,E,NO,83.26666514,47.00,14.51,23.87,3,14,3,5,504488,20.67,94.66%,38.00,545335,21.84,No,Yes,Non violent
FIFA SOCCER 2004,3,1,1,1,FIFA,WCS (WORLD CUP SOCCER),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,SOCCER,01-Nov-03,2003,11,E,NO,82,49.67,21.04,58.86,0,3,9,22,647944,27.24,95.72%,42.33,686719,28.46,No,Yes,Non violent
FIFA SOCCER 2005,3,1,1,1,FIFA,WCS (WORLD CUP SOCCER),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,SOCCER,01-Oct-04,2004,10,E,NO,81.90000153,49.00,27.24,86.11,0,6,12,28,416779,20.50,63.09%,41.33,785955,32.49,No,Yes,Non violent
FIGHT CLUB,2,0,1,1,,OTHER,VIVENDI UNIVERSAL ,GENUINE GAMES,FIGHTING,FIGHT/HEAD TO HEAD,01-Nov-04,2004,11,M,YES,37.14999962,47.50,0.00,0.00,0,25,0,43,42652,2.01,60.19%,33.00,100056,3.35,Vivendi,Yes,Violent
FIGHT NIGHT 2004,2,0,1,1,,,ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,BOXING,01-Apr-04,2004,4,T,NO,84.04999924,48.00,0.00,0.00,0,2,0,10,1026711,48.87,93.00%,43.00,1212662,52.55,No,Yes,Non violent
FIGHTER MAKER 2,1,0,0,1,FIGHTER MAKER,,AGETEC,ENTERBRAIN,FIGHTING,FIGHT/HEAD TO HEAD,01-Nov-02,2002,11,T,NO,58.70000076,44.00,0.00,0.00,0,9,0,7,19842,0.65,83.20%,30.00,26598,0.79,No,No,Violent
FINAL FANTASY CRYSTAL,1,1,0,0,FINAL FANTASY,FINAL FANTASY,NINTENDO OF AMERICA,SQUARE ENIX,RPG,RPG,01-Feb-04,2004,2,T,NO,80.40000153,48.00,0.00,0.00,0,12,0,12,411434,19.65,92.93%,46.00,463591,21.15,No,No,Non violent
FINAL FANTASY X,1,0,0,1,FINAL FANTASY,FINAL FANTASY,SQUARE ENIX INC ,SQUARE ENIX,RPG,RPG,01-Dec-01,2001,12,T,NO,91.40000153,51.00,0.00,0.00,0,12,0,4,1508837,75.47,81.49%,40.00,2291428,92.61,No,No,Non violent
FINAL FANTASY X-2,1,0,0,1,FINAL FANTASY,FINAL FANTASY,SQUARE ENIX INC ,SQUARE ENIX,RPG,RPG,01-Nov-03,2003,11,T,NO,85.90000153,50.00,75.47,75.47,0,15,1,28,1261320,58.37,94.32%,44.00,1415781,61.88,No,No,Non violent
FINAL FANTASY XI,1,0,0,1,FINAL FANTASY,FINAL FANTASY,SONY ,SQUARE ENIX,RPG,MMORPG,01-Mar-04,2004,3,T,YES,86,97.00,58.37,133.84,1,1,2,2,246438,23.87,92.00%,96.00,270005,25.94,No,Yes,Non violent
FINAL FANTASY XI CHAINS OF PROMA,1,0,0,1,FINAL FANTASY,FINAL FANTASY,SQUARE ENIX INC ,SQUARE ENIX,RPG,MMORPG,01-Sep-04,2004,9,T,YES,78.40000153,30.00,58.37,133.84,1,1,2,2,74090,2.21,84.91%,28.00,92069,2.60,No,No,Non violent
FIREBLADE,3,1,1,1,,,MIDWAY,KUJU ENTERTAINMENT,FLIGHT,AIR COMBAT SIMULATIONS,01-Jun-02,2002,6,T,NO,63.53333537,29.00,0.00,0.00,0,2,0,5,102456,3.28,83.89%,25.33,133349,3.90,No,No,Non violent
FIREFIGHTER F.D. 18,1,0,0,1,,,KONAMI DIGITAL ENT.,KONAMI,ACTION,GENERAL ACTION,01-Mar-04,2004,3,T,NO,62,38.00,0.00,0.00,0,40,0,82,25757,0.97,96.70%,37.00,26908,1.00,No,No,Violent
FISHERMAN'S BASS CLUB,1,0,0,1,,,AGETEC,VINGT-ET-UN SYSTEMS,SPORTS,FISHING,01-Oct-02,2002,10,E,NO,58,14.00,0.00,0.00,0,2,0,1,201512,2.65,58.12%,11.00,397230,4.55,No,No,Non violent
FISHERMAN'S CHALLENGE,1,0,0,1,,,KONAMI DIGITAL ENT.,KONAMI,SPORTS,FISHING,01-Jan-03,2003,1,E,NO,63.09999847,22.00,0.00,0.00,0,2,0,4,15463,0.35,97.62%,22.00,15760,0.35,No,No,Non violent
FORD RACING 2,2,0,1,1,FORD RACING,FORD,TAKE 2 INTERACTIVE ,RAZORWORKS,RACING,ACTION ORIENTED RACING,01-Oct-03,2003,10,E,NO,63.25,15.00,0.00,0.00,0,37,0,59,331486,3.53,75.16%,11.50,449429,4.69,No,No,Non violent
FOREVER KINGDOM,1,0,0,1,,,AGETEC,FROMSOFTWARE,RPG,RPG,01-Jan-02,2002,1,T,NO,66,44.00,0.00,0.00,0,10,0,17,17267,0.75,93.05%,42.00,19415,0.81,No,No,Non violent
FORGOTTEN REALMS: DEMON STONE,2,0,1,1,FORGOTTEN REALMS,DUNGEONS & DRAGONS,ATARI,STORMFRONT STUDIOS,RPG,RPG,01-Sep-04,2004,9,T,NO,72.64999771,38.50,0.00,0.00,0,28,0,58,60828,2.51,67.89%,33.50,106994,3.69,No,No,Non violent
FORMULA ONE 2001,1,0,0,1,FORMULA 1,,SONY ,PSYGNOSIS,RACING,SPORTS ORIENTED RACING,01-Sep-01,2001,9,E,NO,77.5,43.00,2.21,1.87,1,7,1,3,49516,1.75,63.74%,27.00,100885,2.75,No,Yes,Non violent
FREAKY FLYERS,3,1,1,1,,,MIDWAY,MIDWAY HOME ENTERTAINMENT,RACING,ACTION ORIENTED RACING,01-Aug-03,2003,8,T,NO,68.33333333,26.00,0.00,0.00,0,54,0,67,47104,0.89,82.78%,18.00,62786,1.08,No,No,Non violent
FREEDOM FIGHTERS,3,1,1,1,,,ELECTRONIC ARTS,IO INTERACTIVE,SHOOTER,SQUAD BASED COMBAT,01-Sep-03,2003,9,T,NO,82.93333181,49.67,0.00,0.00,0,13,0,6,317759,12.10,87.76%,34.00,397361,13.79,No,Yes,Violent
FREEKSTYLE,2,1,0,1,,,ELECTRONIC ARTS,PAGE 44 STUDIOS,SPORTS,EXTREME SPORTS,01-Jun-02,2002,6,E,NO,78.15000153,28.50,0.00,0.00,0,27,0,17,268846,7.31,68.03%,22.00,462666,10.75,No,Yes,Non violent
FREESTYLE METAL X,3,1,1,1,,,MIDWAY,DEIBUS STUDIOS,RACING,SPORTS ORIENTED RACING,01-Jun-03,2003,6,T,NO,70.86666361,24.33,0.00,0.00,0,14,0,40,43775,1.16,87.00%,21.00,54434,1.33,No,No,Non violent
FREESTYLE STREET SOCCER,2,1,1,0,,,ACCLAIM  ,SILICON DREAMS STUDIO,SPORTS,SOCCER,01-May-04,2004,5,T,NO,41.40000153,14.00,0.00,0.00,0,3,0,16,388,0.01,47.32%,15.50,958,0.01,No,No,Non violent
FREQUENCY,1,0,0,1,,,SONY ,HARMONIX MUSIC SYSTEMS,FAMILY ,MUSIC/DANCE GAMES,01-Nov-01,2001,11,E,NO,84.5,49.00,0.00,0.00,0,2,0,0,51070,1.54,80.34%,26.00,73237,1.92,No,Yes,Non violent
FROGGER BEYOND,2,1,1,0,FROGGER,,KONAMI DIGITAL ENT.,KONAMI,ACTION,PLATFORM/SCROLLING CHARACTER,01-Dec-02,2002,12,E,NO,57.25,34.00,0.00,0.00,0,25,0,2,124414,3.32,97.27%,27.50,129636,3.42,No,No,Violent
FROGGER: GREAT QUEST,1,0,0,1,FROGGER,,KONAMI DIGITAL ENT.,KONAMI,ACTION,PLATFORM/SCROLLING CHARACTER,01-Nov-01,2001,11,E,NO,31.5,47.00,0.00,0.00,0,8,0,1,341111,12.48,86.06%,30.00,478718,14.50,No,No,Violent
FROGGER'S ADVENTURES: THE RESCUE,2,1,0,1,FROGGER,,KONAMI DIGITAL ENT.,KONAMI,ACTION,PLATFORM/SCROLLING CHARACTER,01-Oct-03,2003,10,E,NO,64.24999809,30.00,14.46,14.46,0,33,2,42,195416,5.36,90.94%,27.00,219432,5.89,No,No,Violent
